------Mass density on XY plane (unit:g/cm^3)------
dx = 2.000, dy = 2.000, dz = 72.000
xpos   ypos   zpos   massDensity
13.000 113.000 36.000 0.000000
13.000 115.000 36.000 0.000000
15.000 1.000 36.000 0.000000
15.000 3.000 36.000 0.000000
15.000 5.000 36.000 0.000000
15.000 7.000 36.000 0.000000
15.000 9.000 36.000 0.000000
15.000 11.000 36.000 0.000000
15.000 13.000 36.000 0.000000
15.000 15.000 36.000 0.000000
15.000 17.000 36.000 0.000000
15.000 19.000 36.000 0.000000
15.000 21.000 36.000 0.000000
15.000 23.000 36.000 0.000000
15.000 25.000 36.000 0.000000
15.000 27.000 36.000 0.000000
15.000 29.000 36.000 0.000000
15.000 31.000 36.000 0.000000
15.000 33.000 36.000 0.000000
15.000 35.000 36.000 0.000000
15.000 37.000 36.000 0.000000
15.000 39.000 36.000 0.000000
15.000 41.000 36.000 0.000000
15.000 43.000 36.000 0.000000
15.000 45.000 36.000 0.000000
15.000 47.000 36.000 0.000000
15.000 49.000 36.000 0.000000
15.000 51.000 36.000 0.000000
15.000 53.000 36.000 0.000000
15.000 55.000 36.000 0.000000
15.000 57.000 36.000 0.000000
15.000 59.000 36.000 0.000000
15.000 61.000 36.000 0.000000
15.000 63.000 36.000 0.000000
15.000 65.000 36.000 0.000000
15.000 67.000 36.000 0.000000
15.000 69.000 36.000 0.000000
15.000 71.000 36.000 0.000000
15.000 73.000 36.000 0.000000
15.000 75.000 36.000 0.000000
15.000 77.000 36.000 0.000000
15.000 79.000 36.000 0.000000
15.000 81.000 36.000 0.005812
15.000 83.000 36.000 0.000000
15.000 85.000 36.000 0.000000
15.000 87.000 36.000 0.000000
15.000 89.000 36.000 0.000000
15.000 91.000 36.000 0.000000
15.000 93.000 36.000 0.000000
15.000 95.000 36.000 0.000000
15.000 97.000 36.000 0.000000
15.000 99.000 36.000 0.000000
15.000 101.000 36.000 0.000000
15.000 103.000 36.000 0.000000
15.000 105.000 36.000 0.000000
15.000 107.000 36.000 0.000000
15.000 109.000 36.000 0.000000
15.000 111.000 36.000 0.000000
15.000 113.000 36.000 0.000000
15.000 115.000 36.000 0.000000
17.000 1.000 36.000 0.000000
17.000 3.000 36.000 0.000000
17.000 5.000 36.000 0.000000
17.000 7.000 36.000 0.000000
17.000 9.000 36.000 0.000000
17.000 11.000 36.000 0.000000
17.000 13.000 36.000 0.000000
17.000 15.000 36.000 0.000000
17.000 17.000 36.000 0.000000
17.000 19.000 36.000 0.000000
17.000 21.000 36.000 0.000000
17.000 23.000 36.000 0.000000
17.000 25.000 36.000 0.000000
17.000 27.000 36.000 0.000000
17.000 29.000 36.000 0.000000
17.000 31.000 36.000 0.000000
17.000 33.000 36.000 0.000000
17.000 35.000 36.000 0.000000
17.000 37.000 36.000 0.000000
17.000 39.000 36.000 0.000000
17.000 41.000 36.000 0.000000
17.000 43.000 36.000 0.000000
17.000 45.000 36.000 0.000000
17.000 47.000 36.000 0.000000
17.000 49.000 36.000 0.000000
17.000 51.000 36.000 0.000000
17.000 53.000 36.000 0.000000
17.000 55.000 36.000 0.000000
17.000 57.000 36.000 0.000000
17.000 59.000 36.000 0.000000
17.000 61.000 36.000 0.000000
17.000 63.000 36.000 0.000000
17.000 65.000 36.000 0.000000
17.000 67.000 36.000 0.000000
17.000 69.000 36.000 0.000000
17.000 71.000 36.000 0.000000
17.000 73.000 36.000 0.000000
17.000 75.000 36.000 0.000000
17.000 77.000 36.000 0.000000
17.000 79.000 36.000 0.011624
17.000 81.000 36.000 0.236560
17.000 83.000 36.000 0.190305
17.000 85.000 36.000 0.000000
17.000 87.000 36.000 0.000000
17.000 89.000 36.000 0.000000
17.000 91.000 36.000 0.000000
17.000 93.000 36.000 0.000000
17.000 95.000 36.000 0.000000
17.000 97.000 36.000 0.000000
17.000 99.000 36.000 0.000000
17.000 101.000 36.000 0.000000
17.000 103.000 36.000 0.000000
17.000 105.000 36.000 0.000000
17.000 107.000 36.000 0.000000
17.000 109.000 36.000 0.000000
17.000 111.000 36.000 0.000000
17.000 113.000 36.000 0.000000
17.000 115.000 36.000 0.000000
19.000 1.000 36.000 0.000000
19.000 3.000 36.000 0.000000
19.000 5.000 36.000 0.000000
19.000 7.000 36.000 0.000000
19.000 9.000 36.000 0.000000
19.000 11.000 36.000 0.000000
19.000 13.000 36.000 0.000000
19.000 15.000 36.000 0.000000
19.000 17.000 36.000 0.000000
19.000 19.000 36.000 0.000000
19.000 21.000 36.000 0.000000
19.000 23.000 36.000 0.000000
19.000 25.000 36.000 0.000000
19.000 27.000 36.000 0.000000
19.000 29.000 36.000 0.000000
19.000 31.000 36.000 0.000000
19.000 33.000 36.000 0.000000
19.000 35.000 36.000 0.000000
19.000 37.000 36.000 0.000000
19.000 39.000 36.000 0.000000
19.000 41.000 36.000 0.000000
19.000 43.000 36.000 0.000000
19.000 45.000 36.000 0.000000
19.000 47.000 36.000 0.000000
19.000 49.000 36.000 0.000000
19.000 51.000 36.000 0.000000
19.000 53.000 36.000 0.000000
19.000 55.000 36.000 0.000000
19.000 57.000 36.000 0.000000
19.000 59.000 36.000 0.000000
19.000 61.000 36.000 0.000000
19.000 63.000 36.000 0.000000
19.000 65.000 36.000 0.000000
19.000 67.000 36.000 0.000000
19.000 69.000 36.000 0.000000
19.000 71.000 36.000 0.000000
19.000 73.000 36.000 0.000000
19.000 75.000 36.000 0.000000
19.000 77.000 36.000 0.000000
19.000 79.000 36.000 0.092247
19.000 81.000 36.000 0.150125
19.000 83.000 36.000 0.080874
19.000 85.000 36.000 0.000000
19.000 87.000 36.000 0.000000
19.000 89.000 36.000 0.000000
19.000 91.000 36.000 0.000000
19.000 93.000 36.000 0.000000
19.000 95.000 36.000 0.000000
19.000 97.000 36.000 0.000000
19.000 99.000 36.000 0.000000
19.000 101.000 36.000 0.000000
19.000 103.000 36.000 0.000000
19.000 105.000 36.000 0.000000
19.000 107.000 36.000 0.000000
19.000 109.000 36.000 0.000000
19.000 111.000 36.000 0.000000
19.000 113.000 36.000 0.000000
19.000 115.000 36.000 0.000000
21.000 1.000 36.000 0.000000
21.000 3.000 36.000 0.000000
21.000 5.000 36.000 0.000000
21.000 7.000 36.000 0.000000
21.000 9.000 36.000 0.000000
21.000 11.000 36.000 0.000000
21.000 13.000 36.000 0.000000
21.000 15.000 36.000 0.000000
21.000 17.000 36.000 0.000000
21.000 19.000 36.000 0.000000
21.000 21.000 36.000 0.000000
21.000 23.000 36.000 0.000000
21.000 25.000 36.000 0.000000
21.000 27.000 36.000 0.000000
21.000 29.000 36.000 0.000000
21.000 31.000 36.000 0.000000
21.000 33.000 36.000 0.000000
21.000 35.000 36.000 0.000000
21.000 37.000 36.000 0.000000
21.000 39.000 36.000 0.000000
21.000 41.000 36.000 0.000000
21.000 43.000 36.000 0.000000
21.000 45.000 36.000 0.000000
21.000 47.000 36.000 0.000000
21.000 49.000 36.000 0.000000
21.000 51.000 36.000 0.000000
21.000 53.000 36.000 0.000000
21.000 55.000 36.000 0.000000
21.000 57.000 36.000 0.000000
21.000 59.000 36.000 0.000000
21.000 61.000 36.000 0.000000
