------Mass density on XY plane (unit:g/cm^3)------
dx = 2.000, dy = 2.000, dz = 72.000
xpos   ypos   zpos   massDensity
9.000 49.000 36.000 1.015453
9.000 51.000 36.000 0.848396
9.000 53.000 36.000 1.234817
9.000 55.000 36.000 0.727090
9.000 57.000 36.000 0.830960
9.000 59.000 36.000 1.136759
9.000 61.000 36.000 1.125135
9.000 63.000 36.000 0.940642
9.000 65.000 36.000 1.015453
9.000 67.000 36.000 0.663903
9.000 69.000 36.000 1.032889
9.000 71.000 36.000 0.934830
9.000 73.000 36.000 1.107700
9.000 75.000 36.000 1.113512
9.000 77.000 36.000 0.756149
9.000 79.000 36.000 1.240629
9.000 81.000 36.000 0.934830
9.000 83.000 36.000 1.038700
9.000 85.000 36.000 0.750337
9.000 87.000 36.000 0.923207
9.000 89.000 36.000 1.038700
9.000 91.000 36.000 0.917395
9.000 93.000 36.000 1.142570
9.000 95.000 36.000 0.929019
9.000 97.000 36.000 0.905772
9.000 99.000 36.000 0.854207
9.000 101.000 36.000 1.315440
9.000 103.000 36.000 0.830960
9.000 105.000 36.000 0.473598
9.000 107.000 36.000 0.917395
9.000 109.000 36.000 1.050324
9.000 111.000 36.000 1.142570
9.000 113.000 36.000 1.148382
9.000 115.000 36.000 0.738714
11.000 1.000 36.000 1.407687
11.000 3.000 36.000 0.917395
11.000 5.000 36.000 0.646467
11.000 7.000 36.000 1.436745
11.000 9.000 36.000 0.727090
11.000 11.000 36.000 0.871643
11.000 13.000 36.000 0.952266
11.000 15.000 36.000 1.211570
11.000 17.000 36.000 0.640655
11.000 19.000 36.000 1.021265
11.000 21.000 36.000 1.113512
11.000 23.000 36.000 0.756149
11.000 25.000 36.000 0.992206
11.000 27.000 36.000 1.234817
11.000 29.000 36.000 0.940642
11.000 31.000 36.000 0.929019
11.000 33.000 36.000 0.940642
11.000 35.000 36.000 1.090265
11.000 37.000 36.000 1.044512
11.000 39.000 36.000 0.652279
11.000 41.000 36.000 0.732902
11.000 43.000 36.000 0.998018
11.000 45.000 36.000 1.327064
11.000 47.000 36.000 1.073571
11.000 49.000 36.000 0.917395
11.000 51.000 36.000 1.015453
11.000 53.000 36.000 0.750337
11.000 55.000 36.000 0.929019
11.000 57.000 36.000 0.819337
11.000 59.000 36.000 0.830960
11.000 61.000 36.000 0.848396
11.000 63.000 36.000 1.096076
11.000 65.000 36.000 1.269687
11.000 67.000 36.000 0.917395
11.000 69.000 36.000 0.825149
11.000 71.000 36.000 1.101888
11.000 73.000 36.000 0.842584
11.000 75.000 36.000 0.744526
11.000 77.000 36.000 0.934830
11.000 79.000 36.000 0.830960
11.000 81.000 36.000 1.027077
11.000 83.000 36.000 1.021265
11.000 85.000 36.000 0.923207
11.000 87.000 36.000 0.842584
11.000 89.000 36.000 0.444539
11.000 91.000 36.000 1.044512
11.000 93.000 36.000 1.027077
11.000 95.000 36.000 0.571656
11.000 97.000 36.000 1.609615
11.000 99.000 36.000 0.952266
11.000 101.000 36.000 1.027077
11.000 103.000 36.000 1.148382
11.000 105.000 36.000 1.015453
11.000 107.000 36.000 1.038700
11.000 109.000 36.000 0.721279
11.000 111.000 36.000 1.050324
11.000 113.000 36.000 0.554221
11.000 115.000 36.000 1.113512
13.000 1.000 36.000 1.350311
13.000 3.000 36.000 0.911583
13.000 5.000 36.000 1.142570
13.000 7.000 36.000 0.929019
13.000 9.000 36.000 1.032889
13.000 11.000 36.000 0.929019
13.000 13.000 36.000 1.240629
13.000 15.000 36.000 1.032889
13.000 17.000 36.000 0.842584
13.000 19.000 36.000 0.761961
13.000 21.000 36.000 0.813525
13.000 23.000 36.000 1.229005
13.000 25.000 36.000 0.652279
13.000 27.000 36.000 0.923207
13.000 29.000 36.000 1.021265
13.000 31.000 36.000 0.513538
13.000 33.000 36.000 0.836772
13.000 35.000 36.000 1.032889
13.000 37.000 36.000 0.848396
13.000 39.000 36.000 1.136759
13.000 41.000 36.000 0.836772
13.000 43.000 36.000 1.038700
13.000 45.000 36.000 0.940642
13.000 47.000 36.000 0.836772
13.000 49.000 36.000 1.130947
13.000 51.000 36.000 0.485221
13.000 53.000 36.000 1.125135
13.000 55.000 36.000 0.963889
13.000 57.000 36.000 1.113512
13.000 59.000 36.000 0.652279
13.000 61.000 36.000 0.958077
13.000 63.000 36.000 0.732902
13.000 65.000 36.000 1.032889
13.000 67.000 36.000 0.929019
13.000 69.000 36.000 0.738714
13.000 71.000 36.000 0.721279
13.000 73.000 36.000 0.825149
13.000 75.000 36.000 1.303817
13.000 77.000 36.000 0.634844
13.000 79.000 36.000 0.675526
13.000 81.000 36.000 1.038700
13.000 83.000 36.000 0.629032
13.000 85.000 36.000 1.032889
13.000 87.000 36.000 1.436745
13.000 89.000 36.000 1.119323
13.000 91.000 36.000 0.923207
13.000 93.000 36.000 0.923207
13.000 95.000 36.000 0.819337
13.000 97.000 36.000 0.940642
13.000 99.000 36.000 0.779396
13.000 101.000 36.000 0.652279
13.000 103.000 36.000 0.530974
13.000 105.000 36.000 0.929019
13.000 107.000 36.000 0.738714
13.000 109.000 36.000 1.119323
13.000 111.000 36.000 0.750337
13.000 113.000 36.000 1.240629
13.000 115.000 36.000 0.530974
15.000 1.000 36.000 0.848396
15.000 3.000 36.000 0.917395
15.000 5.000 36.000 1.223193
15.000 7.000 36.000 0.830960
15.000 9.000 36.000 0.969701
15.000 11.000 36.000 0.629032
15.000 13.000 36.000 1.130947
15.000 15.000 36.000 1.205758
15.000 17.000 36.000 0.761961
15.000 19.000 36.000 1.027077
15.000 21.000 36.000 1.148382
15.000 23.000 36.000 0.940642
15.000 25.000 36.000 0.761961
15.000 27.000 36.000 1.338687
15.000 29.000 36.000 1.142570
15.000 31.000 36.000 0.750337
15.000 33.000 36.000 0.842584
15.000 35.000 36.000 0.652279
15.000 37.000 36.000 1.113512
15.000 39.000 36.000 0.646467
15.000 41.000 36.000 1.032889
15.000 43.000 36.000 1.107700
15.000 45.000 36.000 0.761961
15.000 47.000 36.000 0.934830
15.000 49.000 36.000 0.744526
15.000 51.000 36.000 1.332875
15.000 53.000 36.000 0.732902
15.000 55.000 36.000 1.101888
15.000 57.000 36.000 0.946454
15.000 59.000 36.000 1.021265
15.000 61.000 36.000 0.929019
15.000 63.000 36.000 0.940642
15.000 65.000 36.000 0.854207
15.000 67.000 36.000 0.825149
15.000 69.000 36.000 0.848396
15.000 71.000 36.000 0.640655
15.000 73.000 36.000 0.842584
15.000 75.000 36.000 0.761961
15.000 77.000 36.000 1.125135
15.000 79.000 36.000 0.727090
15.000 81.000 36.000 0.542597
15.000 83.000 36.000 0.652279
15.000 85.000 36.000 1.050324
15.000 87.000 36.000 0.842584
15.000 89.000 36.000 0.830960
15.000 91.000 36.000 0.467786
15.000 93.000 36.000 1.125135
15.000 95.000 36.000 0.732902
15.000 97.000 36.000 0.860019
15.000 99.000 36.000 1.096076
15.000 101.000 36.000 1.119323
15.000 103.000 36.000 1.361934
15.000 105.000 36.000 0.830960
15.000 107.000 36.000 0.738714
15.000 109.000 36.000 0.761961
15.000 111.000 36.000 1.327064
15.000 113.000 36.000 0.923207
15.000 115.000 36.000 0.721279
17.000 1.000 36.000 0.727090
17.000 3.000 36.000 0.830960
17.000 5.000 36.000 0.854207
17.000 7.000 36.000 0.721279
17.000 9.000 36.000 0.842584
17.000 11.000 36.000 1.223193
17.000 13.000 36.000 0.836772
17.000 15.000 36.000 0.738714
17.000 17.000 36.000 0.617408
17.000 19.000 36.000 0.860019
17.000 21.000 36.000 1.032889
17.000 23.000 36.000 1.211570
17.000 25.000 36.000 1.136759
17.000 27.000 36.000 0.744526
17.000 29.000 36.000 0.917395
17.000 31.000 36.000 0.848396
17.000 33.000 36.000 0.911583
